State Name,Dist Name,RICE YIELD (Kg per ha),MAIZE YIELD (Kg per ha),CHICKPEA YIELD (Kg per ha),PIGEONPEA YIELD (Kg per ha),COTTON YIELD (Kg per ha)
Rajasthan,Swami Madhopur,1013.4765,1184.19825,1019.40975,604.75925,109.27974999999999
Rajasthan,Tonk,402.08325,824.9992500000001,692.836,317.62825,282.54724999999996
Rajasthan,Udaipur,764.74675,1188.15275,851.2452499999999,607.1899999999999,224.33525
Tamil Nadu,Chengalpattu MGR / Kanchipuram,3095.0055,1450.126,132.568,616.03675,911.7180000000001
Tamil Nadu,Coimbatore,2883.42,2788.9555,694.92925,563.915,356.41325
Tamil Nadu,Kanyakumari,3608.52275,661.8085,0.0,87.5,0.0
Tamil Nadu,Madurai,3645.57575,3145.05775,383.2555,700.6220000000001,301.887
Tamil Nadu,North Arcot / Vellore,3074.7875,2767.1364999999996,134.15025,599.1485,342.3815
Tamil Nadu,Ramananthapuram,1751.38875,2587.51325,377.75425,562.38525,226.30925000000002
Tamil Nadu,Salem,3466.4199999999996,2988.782,435.796,659.15225,343.66774999999996
Tamil Nadu,South Arcot / Cuddalore,3144.1135,1867.98,162.91649999999998,573.04275,331.16999999999996
Tamil Nadu,Thanjavur,2693.71125,3496.103,520.97525,639.6475,403.18874999999997
Tamil Nadu,The Nilgiris,2805.4,0.0,0.0,0.0,25.0
Tamil Nadu,Thirunelveli,3749.81875,1423.60075,423.53125,594.74775,261.7095
Tamil Nadu,Tiruchirapalli / Trichy,3338.71425,2811.66675,608.78125,522.1972499999999,291.0395
Telangana,Adilabad,1934.99525,2551.0305,783.60025,369.79625,217.1375
Telangana,Hyderabad,2279.6392499999997,2290.3467499999997,737.07075,400.106,232.3185
Telangana,Karimnagar,2863.51575,3435.14225,727.5065,390.45,289.767
Telangana,Khammam,2433.43525,3286.0325,630.79475,460.20424999999994,318.4395
Telangana,Mahabubnagar,2096.504,2186.1405,771.16525,294.037,251.43200000000002
Telangana,Medak,2339.548,2044.17225,679.308,317.88625,274.26775
Telangana,Nalgonda,2749.85,2218.0935,655.06525,320.599,228.00975
Telangana,Nizamabad,2674.9095,3334.0165,805.2247500000001,432.33525,210.55025
Telangana,Warangal,2479.537,2971.7915000000003,634.05625,379.26775,343.31675
Uttar Pradesh,Agra,1897.3044999999997,1744.0265,1155.35725,1335.2917499999999,166.80575
Uttar Pradesh,Aligarh,1755.9204999999997,1595.2069999999999,1014.55925,825.485,162.44575
Uttar Pradesh,Allahabad,1790.25225,1482.33125,922.10125,1877.562,0.0
Uttar Pradesh,Azamgarh,1619.6725000000001,1296.82025,1048.9692499999999,836.6955,0.0
Uttar Pradesh,Bahraich,1476.2137500000001,914.408,706.2595,768.356,8.33325
Uttar Pradesh,Ballia,1570.30225,1135.431,1118.5985,895.1870000000001,8.33325
Uttar Pradesh,Banda,1059.4355,958.21575,687.6395,1339.8799999999999,0.0
Uttar Pradesh,Barabanki,2007.85525,852.0870000000001,840.4952499999999,995.293,0.0
Uttar Pradesh,Bareilly,1892.9919999999997,1229.55975,742.949,1129.837,0.0
Uttar Pradesh,Basti,1576.4692499999999,1020.2415000000001,771.1895000000001,686.365,0.0
Uttar Pradesh,Bijnor,2366.46375,1200.0125,794.4427499999999,908.6332500000001,46.6665
Uttar Pradesh,Budaun,1609.042,1342.10325,841.6195,1002.1995000000001,0.0
Uttar Pradesh,Buland Shahar,1947.57775,1842.891,973.91325,846.8557500000001,155.23875
Uttar Pradesh,Deoria,1949.98875,1339.651,839.392,690.6305,0.0
Uttar Pradesh,Etah,1739.6992500000001,1662.0502499999998,1060.56575,957.8432500000001,133.78
Uttar Pradesh,Etawah,2164.2355,1644.5580000000002,1169.5790000000002,1369.3415,0.0
Uttar Pradesh,Faizabad,2035.81125,1044.2535,862.9487499999999,1012.0157499999999,0.0
Uttar Pradesh,Farrukhabad,1949.6732499999998,1697.208,1083.4135,1248.5565000000001,0.0
Uttar Pradesh,Fatehpur,1745.47775,1444.93425,968.052,1593.65425,0.0
Uttar Pradesh,Ghazipur,1751.7895,1164.1145000000001,1050.85925,1022.6287500000001,0.0
Uttar Pradesh,Gonda,1576.71225,896.595,751.53225,751.1465000000001,0.0
Uttar Pradesh,Gorakhpur,1854.2497500000002,947.23975,786.05925,676.0020000000001,0.0
Uttar Pradesh,Hamirpur,1021.9225,848.64625,677.0455,1152.152,0.0
Uttar Pradesh,Hardoi,1777.7382499999999,1308.5137499999998,876.1747499999999,898.9382499999999,0.0
Uttar Pradesh,Jalaun,970.4285,657.156,891.6524999999999,1426.0327499999999,0.0
Uttar Pradesh,Jaunpur,1788.9672500000001,1440.83225,1063.222,1120.4747499999999,12.5
Uttar Pradesh,Jhansi,851.59225,1021.5887500000001,850.1942500000001,797.309,0.0
Uttar Pradesh,Kanpur,1958.2607500000001,1459.06525,1158.3809999999999,1864.5169999999998,50.57575
Uttar Pradesh,Kheri,2023.07075,940.07125,792.41025,785.9689999999999,0.0
Uttar Pradesh,Lucknow,1651.4924999999998,883.96525,854.01775,930.619,12.5
Uttar Pradesh,Mainpuri,1933.7442500000002,1779.389,1181.777,1060.2655,2.50725
Uttar Pradesh,Mathura,1910.4689999999998,1420.85575,1090.81825,905.662,140.04275
Uttar Pradesh,Meerut,2124.94025,1680.59125,953.82675,884.3280000000001,151.10125
Uttar Pradesh,Mirzpur,1519.69225,813.83375,931.6225000000001,881.37375,0.0
Uttar Pradesh,Moradabad,2059.64225,1187.89675,794.223,945.2727499999999,14.583249999999998
Uttar Pradesh,Muzaffarnagar,2323.669,1369.58475,926.07925,806.7155,196.5375
Uttar Pradesh,Pilibhit,2519.1035,1277.9445,523.79725,973.74425,0.0
Uttar Pradesh,Pratapgarh,1760.521,1303.759,899.268,1118.854,0.0
Uttar Pradesh,Rae-Bareily,1770.5057499999998,1007.9190000000001,834.4770000000001,950.80025,0.0
Uttar Pradesh,Rampur,2132.66675,1282.091,707.2565,1090.66425,0.0
Uttar Pradesh,Saharanpur,2174.71425,1298.0815,810.08425,499.9965,115.82149999999999
Uttar Pradesh,Shahjahanpur,2229.77625,1303.95725,827.06075,1058.3835,0.0
Uttar Pradesh,Sitapur,1567.71075,758.01625,786.0985,1069.16575,0.0
Uttar Pradesh,Sultanpur,1807.02025,1077.425,891.8610000000001,1232.57525,0.0
Uttar Pradesh,Unnao,1483.6635,1104.47425,872.3697500000001,997.63375,0.0
Uttar Pradesh,Varanasi,2107.5564999999997,1196.6397499999998,975.0632499999999,1111.11225,0.0
Uttarakhand,Almorah,1114.1254999999999,1092.44425,501.02225,374.136,0.0
Uttarakhand,Chamoli,1252.141,1090.96525,30.0,604.928,0.0
Uttarakhand,Dehradun,1755.431,1557.4045,867.396,824.8639999999999,0.0
Uttarakhand,Garhwal,1036.80975,996.04575,591.606,803.6895000000001,0.0
Uttarakhand,Nainital,2812.21375,1429.00525,765.0297499999999,745.45625,0.0
Uttarakhand,Pithorgarh,1171.007,1227.9215,581.1735,120.30049999999999,0.0
Uttarakhand,Tehri Garhwal,1338.031,1136.4705,405.65475000000004,847.99875,0.0
Uttarakhand,Uttar Kashi,1448.8274999999999,1240.6055000000001,202.5,724.40575,0.0
West Bengal,24 Parganas,2032.3787499999999,1298.2369999999999,812.76075,700.57975,305.72125
West Bengal,Bankura,2284.12975,1711.1547500000001,837.3387500000001,426.46999999999997,14.583249999999998
West Bengal,Birbhum,2488.63625,1308.21,955.9354999999999,359.946,13.421000000000001
West Bengal,Burdwan,2661.44175,1378.0235,784.864,537.3534999999999,26.052249999999997
West Bengal,Cooch Behar,1591.92375,2825.748,89.16675000000001,220.0,9.722249999999999
West Bengal,Darjeeling,1549.32675,2720.35625,85.9375,518.27325,10.9375
West Bengal,Hooghly,2472.1425,862.4215,549.6189999999999,138.964,8.75
West Bengal,Howrah,1977.66775,691.96175,119.31824999999999,0.0,20.41075
West Bengal,Jalpaiguri,1462.1934999999999,1922.5322499999997,491.5215,410.81425,10.3125
West Bengal,Malda,2320.81225,2003.4240000000002,923.42225,673.06375,9.804
West Bengal,Midnapur,2098.99125,1744.29675,674.4082500000001,611.23,72.614
West Bengal,Murshidabad,2338.0425,2545.32725,883.71525,1083.41575,9.30725
West Bengal,Nadia,2441.47775,2062.2725,756.3415,715.6655,35.653499999999994
West Bengal,Purulia,1798.3404999999998,1329.36925,825.625,567.585,22.5
West Bengal,West Dinajpur,1961.4908823529413,3581.583823529412,724.550294117647,297.4355882352941,9.103529411764706
